PRcon534_38:27	have	VHP(VHP)	have
PRcon534_38:28	too	RB(RB)	too
PRcon534_38:29	many	JJ(JJ)	many
PRcon534_38:30	directions	NNS(NNS)	direction
PRcon534_38:31	going	VVG(VVG)	go
PRcon534_38:32	on	RP(RP)	on
PRcon534_38:33	_0	PA(PA)	

PRcon534_39:1	we	PP(PP)	we
PRcon534_39:2	are	VBP(VBP)	be
PRcon534_39:3	using	VVG(VVG)	use

PRcon534_40:1	so	DM(DM)	so
PRcon534_40:2	how	WRB(WRB)	how
PRcon534_40:3	doe-	XX(XX)	
PRcon534_40:4	how	WRB(WRB)	how
PRcon534_40:5	the	DT(DT)	the
PRcon534_40:6	direction	NN(NN)	direction
PRcon534_40:7	here	RB(RB)	here
PRcon534_40:8	the	DT(DT)	the

PRcon534_41:1	does	VVZ(VVZ)	do
PRcon534_41:2	it	PP(PP)	it
PRcon534_41:3	er	UH(UH)	er
PRcon534_41:4	work	VV(VV)	work
PRcon534_41:5	in	IN(IN)	in
PRcon534_41:6	there	RB(RB)	there
PRcon534_41:7	_0	PA(PA)	

PRcon534_42:1	because	IN(IN)	because
PRcon534_42:2	if	IN(IN)	if
PRcon534_42:3	you	PP(PP)	you
PRcon534_42:4	use	VVP(VVP)	use
PRcon534_42:5	the	DT(DT)	the
PRcon534_42:6	same	JJ(JJ)	same
PRcon534_42:7	idea	NN(NN)	idea
PRcon534_42:8	to	TO(TO)	to
PRcon534_42:9	construct	VV(VV)	construct
PRcon534_42:10	the	DT(DT)	the
PRcon534_42:11	same	JJ(JJ)	same
PRcon534_42:12	thing	NN(NN)	thing
PRcon534_42:13	in	IN(IN)	in
PRcon534_42:14	high	JJ(JJ)	high
PRcon534_42:15	in	IN(IN)	in
PRcon534_42:16	different	JJ(JJ)	different
PRcon534_42:17	dimen-	XX(XX)	
PRcon534_42:18	dimensions	NNS(NNS)	dimension
PRcon534_42:19	_0	PA(PA)	
PRcon534_42:20	so	DM(DM)	so
PRcon534_42:21	what	WP(WP)	what
PRcon534_42:22	_0	PA(PA)	
PRcon534_42:23	what	WP(WP)	what
PRcon534_42:24	it	PP(PP)	it
