LEint551_60:16	@@@	LA(LA)	
LEint551_60:17	f_a	FW(FW)	
LEint551_60:18	f_front	FW(FW)	
LEint551_60:19	@@	LA(LA)	
LEint551_60:20	f_en	FW(FW)	
LEint551_60:21	f_francais	FW(FW)	
LEint551_60:22	@@	LA(LA)	
LEint551_60:23	_0	PA(PA)	

LEint551_61:1	mhm	RE(RE)	mhm

LEint551_62:1	where	WRB(WRB)	where
LEint551_62:2	do	VVP(VVP)	do
LEint551_62:3	you	PP(PP)	you
LEint551_62:4	want	VV(VV)	want
LEint551_62:5	to	TO(TO)	to
LEint551_62:6	participate	VV(VV)	participate

LEint551_63:1	er	UH(UH)	er
LEint551_63:2	at	IN(IN)	at
LEint551_63:3	the	DT(DT)	the
LEint551_63:4	game	NN(NN)	game
LEint551_63:5	but	CC(CC)	but
LEint551_63:6	really	RB(RB)	really
LEint551_63:7	er	UH(UH)	er
LEint551_63:8	f_se	FW(FW)	
LEint551_63:9	f_donner	FW(FW)	
LEint551_63:10	er	UH(UH)	er
LEint551_63:11	to	TO(TO)	to

LEint551_64:1	do	VVP(VVP)	do
LEint551_64:2	you	PP(PP)	you
LEint551_64:3	want	VV(VV)	want
LEint551_64:4	to	TO(TO)	to
LEint551_64:5	win	VV(VV)	win

LEint551_65:1	to	TO(TO)	to
LEint551_65:2	ah	UH(UH)	ah
LEint551_65:3	yeah	RE(RE)	yeah
LEint551_65:4	@@@@@	LA(LA)	

LEint551_66:1	@@@@@	LA(LA)	
LEint551_66:2	okay	RE(RE)	okay
LEint551_66:3	then	RB(RB)	then
LEint551_66:4	i	PP(PP)	i
LEint551_66:5	wish	VVP(VVP)	wish
LEint551_66:6	you	PP(PP)	you
LEint551_66:7	good	JJ(JJ)	good
LEint551_66:8	luck	NN(NN)	luck
LEint551_66:9	and	CC(CC)	and
LEint551_66:10	thank	FI(FI)	thank
LEint551_66:11	you	FI(FI)	you
LEint551_66:12	very	RB(RB)	very
LEint551_66:13	much	RB(RB)	much

LEint551_67:1	yeah	RE(RE)	yeah

LEint551_68:1	okay	RE(RE)	okay
LEint551_68:2	thank	FI(FI)	thank
LEint551_68:3	you	FI(FI)	you
LEint551_68:4	bye-bye	FI(FI)	bye-bye

