PRint597_89:9	around	RB(RB)	around
PRint597_89:10	_0	PA(PA)	
PRint597_89:11	nine	CD(CD)	nine

PRint597_90:1	nine	CD(CD)	nine

PRint597_91:1	right	DM(DM)	right

PRint597_92:1	s_am	RB(RB)	s_am
PRint597_92:2	@@@@	LA(LA)	

PRint597_93:1	nine	CD(CD)	nine
PRint597_93:2	s_am	RB(RB)	s_am

PRint597_94:1	are	VBP(VBP)	be
PRint597_94:2	you	PP(PP)	you
PRint597_94:3	from	IN(IN)	from
PRint597_94:4	a_[place19]	NP(NP)	
PRint597_94:5	_0	PA(PA)	

PRint597_95:1	yeah	RE(RE)	yeah
PRint597_95:2	_0	PA(PA)	
PRint597_95:3	actually	RB(RB)	actually
PRint597_95:4	actually	RB(RB)	actually
PRint597_95:5	we	PP(PP)	we
PRint597_95:6	live	VVP(VVP)	live
PRint597_95:7	in	IN(IN)	in
PRint597_95:8	a	DT(DT)	a
PRint597_95:9	small	JJ(JJ)	small
PRint597_95:10	town	NN(NN)	town
PRint597_95:11	which	PRE(PRE)	which
PRint597_95:12	is	VBZ(VBZ)	be
PRint597_95:13	_0	PA(PA)	

PRint597_96:1	okay	RE(RE)	okay

PRint597_97:1	close	RB(RB)	close
PRint597_97:2	to	IN(IN)	to
PRint597_97:3	a_[place19]	NP(NP)	
PRint597_97:4	_0	PA(PA)	
PRint597_97:5	a_[place20]	NP(NP)	
PRint597_97:6	is	VBZ(VBZ)	be
PRint597_97:7	the	DT(DT)	the
PRint597_97:8	name	NN(NN)	name
PRint597_97:9	of	IN(IN)	of
PRint597_97:10	the	DT(DT)	the
PRint597_97:11	town	NN(NN)	town
PRint597_97:12	_1	PA(PA)	

PRint597_98:1	okay	RE(RE)	okay

PRint597_99:1	a_[place20]	NP(NP)	
PRint597_99:2	_1	PA(PA)	

PRint597_100:1	okay	RE(RE)	okay

PRint597_101:1	x	UNI(UNI)	
PRint597_101:2	x	UNI(UNI)	

PRint597_102:1	ah	UH(UH)	ah
PRint597_102:2	and	CC(CC)	and
PRint597_102:3	there	EX(EX)	there
PRint597_102:4	's	VBS(VBS)	be
PRint597_102:5	a	DT(DT)	a
PRint597_102:6	university	NN(NN)	university
PRint597_102:7	there	RB(RB)	there
PRint597_102:8	as	RB(RB)	as
PRint597_102:9	well	RB(RB)	well
PRint597_102:10	_0	PA(PA)	

PRint597_103:1	yeah	RE(RE)	yeah

PRint597_104:1	although	IN(IN)	although
PRint597_104:2	it	PP(PP)	it
PRint597_104:3	is	VBZ(VBZ)	be
PRint597_104:4	a	DT(DT)	a
PRint597_104:5	small	JJ(JJ)	small
PRint597_104:6	town	NN(NN)	town
PRint597_104:7	_0	PA(PA)	

PRint597_105:1	yeah	RE(RE)	yeah

PRint597_106:1	it	PP(PP)	it
PRint597_106:2	's	VBS(VBS)	be
PRint597_106:3	a	DT(DT)	a
PRint597_106:4	small	JJ(JJ)	small
PRint597_106:5	town	NN(NN)	town
PRint597_106:6	_0	PA(PA)	
PRint597_106:7	right	DM(DM)	right

PRint597_107:1	how	WRB(WRB)	how
PRint597_107:2	many	JJ(JJ)	many
PRint597_107:3	inhabitants	NNS(NNS)	inhabitant
PRint597_107:4	does	VVZ(VVZ)	do
PRint597_107:5	it	PP(PP)	it
PRint597_107:6	have	VH(VH)	have
PRint597_107:7	_0	PA(PA)	
PRint597_107:8	appro-	XX(XX)	

PRint597_108:1	sixty	CD(CD)	sixty
PRint597_108:2	thousand	CD(CD)	thousand
PRint597_108:3	_1	PA(PA)	

PRint597_109:1	yeah	RE(RE)	yeah

PRint597_110:1	i	PP(PP)	i
PRint597_110:2	think	VVP(VVP)	think

PRint597_111:1	yeah	RE(RE)	yeah
PRint597_111:2	_0	PA(PA)	

PRint597_112:1	okay	RE(RE)	okay
PRint597_112:2	_0	PA(PA)	
PRint597_112:3	that	DT(DT)	that
PRint597_112:4	's	VBS(VBS)	be
PRint597_112:5	not	RB(RB)	not

PRint597_113:1	sixty	CD(CD)	sixty
PRint597_113:2	xx	UNI(UNI)	

PRint597_114:1	i	PP(PP)	i
PRint597_114:2	think	VVP(VVP)	think
PRint597_114:3	i	PP(PP)	i
PRint597_114:4	think	VVP(VVP)	think
PRint597_114:5	i	PP(PP)	i
PRint597_114:6	'm	VBP(VBP)	be
PRint597_114:7	not	RB(RB)	not
PRint597_114:8	sure	JJ(JJ)	sure
PRint597_114:9	about	IN(IN)	about
PRint597_114:10	_0	PA(PA)	

PRint597_115:1	yeah	RE(RE)	yeah
PRint597_115:2	_0	PA(PA)	

PRint597_116:1	yeah	RE(RE)	yeah

PRint597_117:1	i	PP(PP)	i
PRint597_117:2	_0	PA(PA)	
PRint597_117:3	never	RB(RB)	never
PRint597_117:4	counted	VVD(VVD)	count
PRint597_117:5	everyone	NN(NN)	everyone

PRint597_118:1	@@@@@@@@	LA(LA)	
PRint597_118:2	@@@	LA(LA)	

PRint597_119:1	but	CC(CC)	but
PRint597_119:2	i	PP(PP)	i
PRint597_119:3	_0	PA(PA)	
PRint597_119:4	think	VVP(VVP)	think

PRint597_120:1	did	VVD(VVD)	do
PRint597_120:2	n't	RB(RB)	not
PRint597_120:3	you	PP(PP)	you

PRint597_121:1	@	LA(LA)	
PRint597_121:2	yeah	RE(RE)	yeah
PRint597_121:3	i	PP(PP)	i
PRint597_121:4	di-	XX(XX)	

PRint597_122:1	i	PP(PP)	i
PRint597_122:2	thought	VVD(VVD)	think
PRint597_122:3	you	PP(PP)	you
PRint597_122:4	'd	MD(MD)	will
PRint597_122:5	probably	RB(RB)	probably
PRint597_122:6	sit	VV(VV)	sit
PRint597_122:7	at	IN(IN)	at
PRint597_122:8	the	DT(DT)	the
PRint597_122:9	street	NN(NN)	street
PRint597_122:10	and	CC(CC)	and

PRint597_123:1	@@@	LA(LA)	

PRint597_124:1	yeah	RE(RE)	yeah
PRint597_124:2	that	DT(DT)	that
PRint597_124:3	's	VBS(VBS)	be
PRint597_124:4	right	JJ(JJ)	right

PRint597_125:1	could	MD(MD)	can
PRint597_125:2	you	PP(PP)	you
PRint597_125:3	please	FI(FI)	please
PRint597_125:4	all	DT(DT)	all
PRint597_125:5	pass	VV(VV)	pass
PRint597_125:6	now	RB(RB)	now

PRint597_126:1	i	PP(PP)	i
PRint597_126:2	tried	VVD(VVD)	try

PRint597_127:1	@@@	LA(LA)	

PRint597_128:1	i	PP(PP)	i
PRint597_128:2	tried	VVD(VVD)	try
PRint597_128:3	but	CC(CC)	but
PRint597_128:4	then	RB(RB)	then
PRint597_128:5	_0	PA(PA)	
PRint597_128:6	but	CC(CC)	but
PRint597_128:7	then	RB(RB)	then
PRint597_128:8	i	PP(PP)	i
PRint597_128:9	_0	PA(PA)	
PRint597_128:10	i	PP(PP)	i
PRint597_128:11	i	PP(PP)	i
PRint597_128:12	slept	VVD(VVD)	sleep
PRint597_128:13	so	DM(DM)	so

PRint597_129:1	@	LA(LA)	

PRint597_130:1	oow	UH(UH)	oow
PRint597_130:2	ex-	XX(XX)	
PRint597_130:3	once	RB(RB)	once
PRint597_130:4	again	RB(RB)	again

PRint597_131:1	@@@	LA(LA)	

PRint597_132:1	xx	UNI(UNI)	
PRint597_132:2	_0	PA(PA)	
PRint597_132:3	that	DT(DT)	that
PRint597_132:4	's	VBS(VBS)	be
PRint597_132:5	right	JJ(JJ)	right

PRint597_133:1	obviously	RB(RB)	obviously
PRint597_133:2	you	PP(PP)	you
PRint597_133:3	're	VBP(VBP)	be
PRint597_133:4	always	RB(RB)	always
PRint597_133:5	sleep	V(VVG)	sleep

